author_id|post_id|reply_id|comment_id|article_type|clean_content|category|prob|published_time|id
100024916729857|718787542295130|nan|nan|fb_user_post|tùngg liênn bát mì huyền_thoại con_trai thời nay đảm_đang hơn nhiều|Tư tưởng tiêu cực - chống phá nhà nước|0.16689826548099518|2020/07/03 16:33:08|5.008854231925109e+18
100010265618044|1163690283983148|nan|nan|fb_user_post|khách nao gửi hô sơ phía vn gửi xong nhớ báo e numbertoken tiếng nhe khách nhiều k nhớ lltp va bảo_hiểm_cha me tuần sau lai gửi sang|Nhân vật chính trị|0.4931110441684723|2020/07/03 20:08:44|7.308209747972262e+18
100010265618044|1163690283983148|nan|nan|fb_user_post|khách nao gửi hô sơ phía vn gửi xong nhớ báo e numbertoken tiếng nhe khách nhiều k nhớ lltp va bảo_hiểm_cha me tuần sau lai gửi sang|Tổ chức nhà nước|0.26055893301963806|2020/07/03 20:08:44|7.308209747972262e+18
100052391960711|583843332551549|nan|583843332551549_584193745849841|fb_group_comment|trông ảnh đẹp như này thì dù có chung_thân numbertoken kiếp tôi cũng chịu|Tổ chức nhà nước|0.414196640253067|2020/07/03 07:09:30|8.850491519567564e+17
100052391960711|583843332551549|nan|583843332551549_584193745849841|fb_group_comment|trông ảnh đẹp như này thì dù có chung_thân numbertoken kiếp tôi cũng chịu|Nhân vật chính trị|0.23293882608413696|2020/07/03 07:09:30|8.850491519567564e+17
100052391960711|583843332551549|nan|583843332551549_584193745849841|fb_group_comment|trông ảnh đẹp như này thì dù có chung_thân numbertoken kiếp tôi cũng chịu|Tư tưởng tiêu cực - chống phá nhà nước|0.11695563793182373|2020/07/03 07:09:30|8.850491519567564e+17
100049147391068|156785129303066|nan|nan|fb_user_post|tởm lúc yêu thì ngọt_ngào cưới về thì như thú hoang nguồn|Tổ chức nhà nước|0.29982316493988037|2020/07/03 19:45:53|5.2661832547886e+17
100049147391068|156785129303066|nan|nan|fb_user_post|tởm lúc yêu thì ngọt_ngào cưới về thì như thú hoang nguồn|Nhân vật chính trị|0.26896265149116516|2020/07/03 19:45:53|5.2661832547886e+17
100049147391068|156785129303066|nan|nan|fb_user_post|tởm lúc yêu thì ngọt_ngào cưới về thì như thú hoang nguồn|Tư tưởng tiêu cực - chống phá nhà nước|0.1664697229862213|2020/07/03 19:45:53|5.2661832547886e+17
100008669083750|2428424337456512|nan|nan|fb_user_post|cầu_mong những_ai nhìn thấy video này sẽ luôn gặp nhiều may_mắn cầu được ước thấy nam_mô a_di_đà phật |Tổ chức nhà nước|0.30059921741485596|2020/07/03 21:24:03|7.681741297916862e+18
